c,dddemmddc
d,e
e,g
m,
m,n
m,o
m,no
g,j
n,
n,p
n,o
n,no
o,
o,p
o,n
o,o
o,no
j,k
p,
p,A
p,H
p,q
p,o
p,n
p,p
p,no
p,Hq
p,AH
p,AHq
k,
A,
A,o
A,q
A,p
A,B
A,I
A,r
A,H
A,n
A,A
A,IB
A,AH
A,BI
A,Ir
A,no
A,Hq
A,BIr
A,AHq
A,IBI
A,BIB
A,BIBI
A,IBIr
A,BIBIr
H,
H,o
H,q
H,p
H,B
H,I
H,r
H,A
H,n
H,H
H,IB
H,AH
H,BI
H,Ir
H,no
H,Hq
H,BIr
H,AHq
H,IBI
H,BIB
H,BIBI
H,IBIr
H,BIBIr
q,
q,o
q,H
q,p
q,B
q,I
q,r
q,A
q,n
q,q
q,IB
q,AH
q,BI
q,Ir
q,no
q,Hq
q,BIr
q,AHq
q,IBI
q,BIB
q,BIBI
q,IBIr
q,BIBIr
B,
B,C
B,I
B,J
B,B
I,
I,C
I,B
I,J
I,I
r,
r,p
r,r
r,n
r,o
r,A
r,C
r,q
r,B
r,I
r,J
r,s
r,H
r,AH
r,IB
r,CJ
r,BI
r,JC
r,Hq
r,Ir
r,Js
r,no
r,BIB
r,IBI
r,JCJ
r,CJC
r,AHq
r,CJs
r,BIr
r,JCJs
r,IBIr
r,BIBI
r,CJCJ
r,JCJC
r,BIBIr
r,CJCJs
r,JCJCJ
r,CJCJC
r,CJCJCJ
r,JCJCJs
r,CJCJCJs
C,D
J,
J,C
J,K
s,
s,A
s,s
s,n
s,o
s,p
s,H
s,q
s,D
s,I
s,r
s,K
s,C
s,J
s,t
s,B
s,AH
s,IB
s,JC
s,KD
s,CJ
s,BI
s,Kt
s,Js
s,DK
s,Ir
s,Hq
s,no
s,CJC
s,IBI
s,KDK
s,JCJ
s,BIB
s,BIr
s,DKt
s,CJs
s,AHq
s,JCJC
s,BIBI
s,CJCJ
s,KDKt
s,JCJs
s,IBIr
s,BIBIr
s,CJCJs
s,JCJCJ
s,CJCJC
s,CJCJCJ
s,JCJCJs
s,CJCJCJs
D,E
K,
K,L
t,
t,A
t,t
t,s
t,n
t,o
t,p
t,H
t,q
t,D
t,I
t,r
t,C
t,J
t,K
t,L
t,E
t,B
t,EL
t,IB
t,LE
t,JC
t,KD
t,CJ
t,BI
t,AH
t,Hq
t,DK
t,Kt
t,Ir
t,Js
t,no
t,CJC
t,BIB
t,KDK
t,LEL
t,IBI
t,CJs
t,BIr
t,AHq
t,DKt
t,JCJ
t,JCJC
t,CJCJ
t,BIBI
t,JCJs
t,KDKt
t,IBIr
t,BIBIr
t,CJCJs
t,JCJCJ
t,CJCJC
t,CJCJCJ
t,JCJCJs
t,CJCJCJs
E,G
L,
L,M
G,
M,
M,M
M,L
