B,U[-S]U[-C]
A,B/B/A
U,ffFFFF
U,ffFFFF[
U,ffFFFF[-
U,ffFFFF[-F
S,[
S,-
S,]
S,/
S,f
S,F
S,+
S,+F
S,[+
S,Ff
S,]f
S,F]
S,-F
S,FF
S,fF
S,ff
S,]/
S,[-
S,F[
S,FfF
S,F]/
S,fF]
S,+FF
S,[+F
S,F[+
S,]fF
S,fF[
S,-Ff
S,[-F
S,F]f
S,FF]
S,-FF
S,F[-
S,FF[
S,FFF
S,fFF
S,ffF
S,]ff
S,FfF[
S,fF[-
S,-FF]
S,]fF[
S,fF[+
S,[-Ff
S,[+FF
S,+FF]
S,fF]/
S,-FfF
S,F[+F
S,]fF]
S,F]fF
S,FFF[
S,ffFF
S,fFFF
S,FFFF
S,FF[-
S,F[-F
S,F]ff
S,]ffF
S,-FFF
S,FFF]
S,FF]f
S,[-FF
S,F]fF[
S,fF[-F
S,[-FF]
S,-FF]f
S,FF]fF
S,]fF[-
S,[-FfF
S,fF[+F
S,F[+FF
S,[+FF]
S,-FfF[
S,F]fF]
S,]fF]/
S,]fF[+
S,+FF]f
S,FfF[-
S,FFF[-
S,F[-Ff
S,ffFFF
S,fFFFF
S,FFFF[
S,FF[-F
S,F[-FF
S,]ffFF
S,-FFFF
S,FFFFF
S,FFFF]
S,FFF]f
S,FF]ff
S,F]ffF
S,[-FFF
S,F]fF[-
S,FfF[-F
S,fF[-FF
S,[-FF]f
S,-FF]fF
S,FF]fF[
S,]fF[-F
S,[-FfF[
S,]fF[+F
S,fF[+FF
S,F[+FF]
S,[+FF]f
S,+FF]fF
S,FF]fF]
S,-FfF[-
S,F]fF[+
S,F]fF]/
S,F[-FF]
S,FF[-FF
S,ffFFFF
S,fFFFF[
S,FFFF[-
S,FFF[-F
S,F[-FFF
S,[-FFFF
S,-FFFFF
S,FF[-Ff
S,FFFFF]
S,FFFF]f
S,FFF]ff
S,FF]ffF
S,F[-FfF
S,F]ffFF
S,]ffFFF
S,FFFFFF
S,]fF[-FF
S,fF[-FF]
S,F[-FF]f
S,[-FF]fF
S,-FF]fF[
S,FF]fF[-
S,F]fF[-F
S,FF]fF[+
S,[-FfF[-
S,]fF[+FF
S,fF[+FF]
S,F[+FF]f
S,[+FF]fF
S,+FF]fF[
S,-FF]fF]
S,FfF[-FF
S,F]fF[+F
S,FF]fF]/
S,-FfF[-F
S,F[-FFFF
S,F[-FfF[
S,ffFFFF[
S,fFFFF[-
S,FFFF[-F
S,FFF[-FF
S,FF[-FFF
S,[-FFFFF
S,-FFFFFF
S,FFFFFFF
S,FF[-FfF
S,FFFFF]f
S,FFFF]ff
S,FFF]ffF
S,FF]ffFF
S,F]ffFFF
S,]ffFFFF
S,FFF[-Ff
S,FFFFFF]
S,F]fF[-FF
S,FF]fF[-F
S,-FF]fF[-
S,-FF]fF[+
S,F[-FF]fF
S,fF[-FF]f
S,]fF[-FF]
S,[-FF]fF[
S,FfF[-FF]
S,[-FfF[-F
S,F]fF[+FF
S,]fF[+FF]
S,fF[+FF]f
S,F[+FF]fF
S,-FF]fF]/
S,[+FF]fF[
S,+FF]fF[+
S,+FF]fF[-
S,-FfF[-FF
S,FF]fF[+F
S,[-FF]fF]
S,FF[-FFFF
S,F[-FFFFF
S,F[-FfF[-
S,ffFFFF[-
S,fFFFF[-F
S,FFFF[-FF
S,FFF[-FFF
S,[-FFFFFF
S,-FFFFFFF
S,FFFFFFFF
S,FFFFFFF]
S,FF[-FfF[
S,FFF[-FfF
S,FFFFFF]f
S,FFFF[-Ff
S,]ffFFFF[
S,F]ffFFFF
S,FFFFF]ff
S,FFF]ffFF
S,FFFF]ffF
S,FF]ffFFF
S,[-FF]fF[+
S,FfF[-FF]f
S,fF[-FF]fF
S,F[-FF]fF[
S,[-FF]fF[-
S,-FF]fF[-F
S,FF]fF[-FF
S,F]fF[-FF]
S,]fF[-FF]f
S,-FF]fF[+F
S,[-FfF[-FF
S,]fF[+FF]f
S,fF[+FF]fF
S,F[+FF]fF[
S,[+FF]fF[+
S,+FF]fF[+F
S,[+FF]fF[-
S,+FF]fF[-F
S,F[-FF]fF]
S,-FfF[-FF]
S,FF]fF[+FF
S,[-FF]fF]/
S,F]fF[+FF]
S,[-FFFFFFF
S,ffFFFF[-F
S,fFFFF[-FF
S,FFFF[-FFF
S,FFF[-FFFF
S,FF[-FFFFF
S,F[-FFFFFF
S,-FFFFFFFF
S,FFFFFFFFF
S,F[-FfF[-F
S,FFFFFFFF]
S,FF[-FfF[-
S,FFF[-FfF[
S,FFFFFFF]f
S,FFFF[-FfF
S,fFFFF[-Ff
S,]ffFFFF[-
S,F]ffFFFF[
