c,QAId
Q,Q
A,
A,Q
A,B
A,C
A,J
A,K
A,BC
A,JK
A,QB
A,CJ
A,QBC
A,CJK
A,BCJ
A,BCJK
A,QBCJ
A,QBCJK
I,
I,Q
I,B
I,C
I,J
I,K
I,BC
I,JK
I,QB
I,CJ
I,QBC
I,CJK
I,BCJ
I,BCJK
I,QBCJ
I,QBCJK
d,e
d,Ie
d,AIe
d,QAIe
B,
B,Q
B,D
B,L
B,QD
B,DL
B,QDL
C,
C,Q
C,D
C,L
C,QD
C,DL
C,QDL
J,
J,Q
J,D
J,L
J,QD
J,DL
J,QDL
K,
K,Q
K,D
K,L
K,QD
K,DL
K,QDL
e,g
e,Ig
e,AIg
e,QAIg
D,
D,Q
D,E
D,M
D,QE
D,EM
D,QEM
L,
L,Q
L,E
L,M
L,QE
L,EM
L,QEM
g,h
g,Ih
g,AIh
g,QAIh
E,
E,P
E,N
E,G
E,Q
E,PN
E,PG
E,QP
E,GP
E,QPG
E,PGP
E,GPN
E,PGPN
E,QPGP
E,QPGPN
M,
M,P
M,N
M,G
M,Q
M,PN
M,PG
M,QP
M,GP
M,QPG
M,PGP
M,GPN
M,PGPN
M,QPGP
M,QPGPN
h,i
h,Ii
h,AIi
h,QAIi
h,KQAIi
h,JKQAIi
h,CJKQAIi
h,BCJKQAIi
P,
G,
G,H
G,O
G,P
G,Q
G,PH
G,PO
G,QP
G,OQ
G,HP
G,HPO
G,PHP
G,POQ
G,QPH
G,OQP
G,POQP
G,PHPO
G,HPOQ
G,HPOQP
G,PHPOQ
G,PHPOQP
N,
N,H
N,O
N,P
N,Q
N,PH
N,PO
N,QP
N,OQ
N,HP
N,HPO
N,PHP
N,POQ
N,QPH
N,OQP
N,POQP
N,PHPO
N,HPOQ
N,HPOQP
N,PHPOQ
N,PHPOQP
i,j
i,pj
i,Qpj
i,KQpj
i,JKQpj
i,CJKQpj
i,BCJKQpj
H,
H,Q
H,A
H,I
H,P
H,QA
H,AI
H,QP
H,PQ
H,PP
H,QAI
H,PQP
